a	a
pérou            pérou
pérouse          pérous
perpendiculairement           perpendiculair
perpétuelle        perpétuel
perpétuels         perpétuel
perplexités        perplex
perqué           perqu
perquisition         perquisit
perron           perron
perruque         perruqu
perruques        perruqu
persans          persan
persécutait        persécut
persécute        persécut
persécuté        persécut
persécuterait        persécut
persécutés         persécut
persécutions         persécu
perses           pers
persienne        persien
persiennes         persien
persiflage         persiflag
persiflèrent         persifl
persista         persist
persistance        persist
personnage         personnag
personnages        personnag
personnalité         personnal
personne         person
personnel        personnel
personnelle        personnel
personnellement               personnel
personnelles         personnel
personnels         personnel
personnes        person
personnification              personnif
personnifiée         personnifi
perspective        perspect
perspectives         perspect
perspicacité         perspicac
persuadé         persuad
persuadée        persuad
persuader        persuad
persuasion         persuas
perte            pert
pertes           pert
pertuis          pertuis
perturbations        perturb
péruvien         péruvien
pervers          perver
perversité         pervers
pervertisse        pervert
pesait           pes
pesant           pes
pesante          pes
pesanteur        pesanteur
pesants          pes
pèse             pes
pesé             pes
peser            pes
pesés            pes
pesez            pes
pessimisme         pessim
peste            pest
pester           pest
pétaudière         pétaudi
pétillante         pétill
petit            pet
petite           petit
petites          petit
petitesse        petitess
petitesses         petitess
pétition         pétit
pétitions        pétit
petits           petit
pétrarque        pétrarqu
pétrifié         pétrifi
pétrifiée        pétrifi
pétrole          pétrol
pétrone          pétron
petto            petto
pétulance        pétul
peu              peu
peuple           peupl
peuplé           peupl
peuplée          peupl
peuplent         peuplent
peuples          peupl
peuplés          peupl
peuplier         peupli
peur             peur
peureux          peureux
peurs            peur
peut             peut
peuvent          peuvent
peux             peux
pharsale         pharsal
pherson          pherson
phileas          phil
philippe         philipp
philosophant         philosoph
philosophe         philosoph
philosophes        philosoph
philosophie        philosoph
philosophique        philosoph
philosophiquement             philosoph
philosophiques        philosoph
phosphorescentes              phosphorescent
photographie         photograph
phrase           phras
phrases          phras
physiognomoniques             physiognomon
physionomie        physionom
physionomies         physionom
physionomistes        physionom
physique         physiqu
physiquement         physiqu
physiques        physiqu
piacere          piacer
pianiste         pianist
piano            piano
pianos           pianos
pic              pic
pichegru         pichegru
pics             pic
pie              pi
pièce            piec
pièces           piec
piécettes        piécet
pied             pied
pieds            pied
piège            pieg
pieges           pieg
pièges           pieg
piémont          piémont
piémontais         piémont
piémontaise        piémontais
pier             pi
pierre           pierr
pierres          pierr
piété            piet
piéton           piéton
piétons          piéton
pietragrua         pietragru
pietranera         pietran
piètre           pietr
pieuse           pieus
pieusement         pieus
pieuses          pieus
pieux            pieux
pigeon           pigeon
pigeons          pigeon
pilastre         pilastr
pile             pil
pilé             pil
piler            pil
pilier           pili
piliers          pili
pillage          pillag
pillages         pillag
pillaient        pill
pillaji          pillaj
pille            pill
pillé            pill
pillée           pill
pillent          pillent
pillés           pill
pilori           pilor
pilote           pilot
pilotes          pilot
pimentel         pimentel
pinceau          pinceau
pincée           pinc
pincette         pincet
pintes           pint
piochant         pioch
pioneer          pione
pipe             pip
pipes            pip
piqua            piqu
piquait          piqu
piquant          piqu
piquante         piqu
piquantes        piqu
pique            piqu
piqué            piqu
piquée           piqu
piquer           piqu
piquerait        piqu
piqués           piqu
piquez           piqu
pirard           pirard
pirate           pirat
pire             pir
pis              pis
piste            pist
pistolet         pistolet
pistolets        pistolet
piston           piston
pistons          piston
pitance          pitanc
piteuse          piteux
piteusement        piteux
piteux           piteux
pitié            piti
pitoyable        pitoi
pitt             pitt
pittoresque        pittoresqu
pittoresques         pittoresqu
pittsburg        pittsburg
più              più
plaça            plac
plaçait          plac
plaçant          plac
placard          placard
place            plac
placé            plac
placée           plac
placées          plac
placer           plac
placera          plac
placerai         plac
placerait        plac
placèrent        plac
placerez         plac
placers          placer
places           plac
placés           plac
placez           plac
placidité        placid
plafond          plafond
plafonds         plafond
plaida           plaid
plaidait         plaid
plaider          plaid
plaidoirie         plaidoir
plaie            plai
plaignait        plaign
plaignant        plaign
plaignants         plaign
plaignez         plaign
plaignirent        plaign
plaignit         plaign
plain            plain
plaindrai        plaindr
plaindrais         plaindr
plaindre         plaindr
plaine           plain
plaines          plain
plains           plain
plaint           plaint
plainte          plaint
plaintes         plaint
plaintive        plaintiv
plaints          plaint
plaira           plair
plairait         plair
plaire           plair
plais            plais
plaisaient         plais
plaisait         plais
plaisamment        plais
plaisance        plaisanc
plaisant         plais
plaisanta        plaisant
plaisantaient        plaisant
plaisantait        plaisant
plaisantant        plaisant
plaisantât         plaisant
plaisante        plais
plaisanté        plaisant
plaisantent        plaisantent
plaisanter         plaisant
plaisanterie         plaisanter
plaisanteries        plaisanter
plaisantes         plais
plaisants        plais
plaise           plais
plaisent         plaisent
plaisir          plais
plaisirs         plaisir
plaît            plaît
plan             plan
planait          plan
planche          planch
plancher         planch
planches         planch
planchette         planchet
planisphère        planispher
plans            plan
plant            plant
planta           plant
plantation         plantat
plantations        plantat
plante           plant
planté           plant
planter          plant
planterez        plant
planterons         plant
plantes          plant
plantés          plant
plantiez         plant
plaque           plaqu
plaques          plaqu
plastron         plastron
plat             plat
platanes         platan
plate            plat
plateau          plateau
platement        plat
plates           plat
platitude        platitud
platitudes         platitud
platonique         platon
plâtre           plâtr
plats            plat
platte           platt
plausible        plausibl
please           pleas
plébéien         plébéien
plébéiennes        plébéien
plébéiens        plébéien
plein            plein
pleine           plein
pleinement         plein
pleines          plein
pleins           plein
pleura           pleur
pleurait         pleur
pleurant         pleur
pleure           pleur
pleuré           pleur
pleurer          pleur
pleurera         pleur
pleurerait         pleur
pleurèrent         pleur
pleureur         pleureur
pleurez          pleur
pleurs           pleur
pleutre          pleutr
pleuvaient         pleuv
pleuvait         pleuv
pleuvent         pleuvent
pli              pli
plia             pli
pliaient         pli
plié             pli
pliée            pli
plier            pli
pliniana         plinian
plis             plis
plissa           pliss
plomb            plomb
plombées         plomb
plonge           plong
plongé           plong
plongea          plong
plongeaient        plong
plongeait        plong
plongeant        plong
plongée          plong
plonger          plong
plongerais         plong
plongés          plong
plours           plour
plu              plu
pluie            plui
pluies           plui
plum             plum
plume            plum
plumes           plum
plupart          plupart
plus             plus
plusieurs        plusieur
plut             plut
plût             plût
plutôt           plutôt
pô               pô
poche            poch
poches           poch
poco             poco
podestat         podestat
podestats        podestat
poêle            poêl
poème            poem
poemi            poem
poésie           poes
poésies          poes
poète            poet
poètes           poet
poétique         poétiqu
poids            poid
poignante        poign
poignantes         poign
poignard         poignard
poignarda        poignard
poignardé        poignard
poignardée         poignard
poignarder         poignard
poignards        poignard
poigne           poign
poignée          poign
poignées         poign
poils            poil
poindre          poindr
poing            poing
poings           poing
point            point
pointe           point
pointes          point
points           point
pointus          pointus
poireaux         poireau
poison           poison
poisons          poison
poisson          poisson
poissonnerie         poissonner
poissons         poisson
poissy           poissy
poitrail         poitrail
poitrine         poitrin
poivriers        poivri
pole             pol
poli             pol
police           polic
policeman        policeman
policemen        policemen
polices          polic
polichinelle         polichinel
polidori         polidor
polie            pol
polies           pol
poliment         pol
polis            pol
polish           polish
polisson         polisson
politesse        politess
politesses         politess
politique        polit
politiques         polit
polonais         polon
polyeucte        polyeuct
polygames        polygam
polygamie        polygam
polygones        polygon
pommades         pommad
pomme            pomm
pommeau          pommeau
pommelé          pommel
pommes           pomm
pommettes        pommet
pommiers         pommi
pompe            pomp
pompes           pomp
pompiers         pompi
pompon           pompon
ponceaux         ponceau
poncet           poncet
ponctualité        ponctual
ponctuel         ponctuel
ponctuelle         ponctuel
ponctuellement        ponctuel
pondéré          ponder
poney            poney
poneys           poney
pont             pont
pontarlier         pontarli
ponte            pont
ponton           ponton
ponts            pont
populace         populac
populaire        populair
population         popul
populations        popul
porcelaine         porcelain
porco            porco
porcs            porc
porphyre         porphyr
port             port
porta            port
portaient        port
portait          port
portant          port
portât           port
portative        portat
porte            port
porté            port
portée           port
portées          port
portefaix        portefaix
portefeuille         portefeuill
portefeuilles        portefeuill
portemanteau         portemanteau
portent          portent
porter           port
portera          port
porteras         port
portèrent        port
porterez         port
porteront        port
portes           port
portés           port
porteur          porteur
porteurs         porteur
portez           port
portier          porti
portière         porti
portières        porti
portiers         porti
portion          portion
portique         portiqu
porto            porto
portons          porton
portrait         portr
portraits        portrait
ports            port
portugais        portug
portugaise         portugais
posa             pos
posant           pos
posé             pos
posée            pos
posément         pos
poser            pos
posés            pos
positif          posit
position         posit
positions        posit
positive         posit
positivement         posit
possédait        possed
possédant        possed
possède          possed
possédé          possed
posséder         possed
possédés         possed
possesseur         possesseur
possession         possess
possessions        possess
possibilité        possibil
possibilités         possibil
possible         possibl
possibles        possibl
poste            post
posté            post
postérité        poster
postes           post
posthume         posthum
postillon        postillon
potage           potag
potager          potag
potagères        potager
potentats        potentat
pouce            pouc
pouces           pouc
poudrait         poudr
poudre           poudr
poudrées         poudr
poudrés          poudr
pouffer          pouff
poule            poul
poulet           poulet
poulets          poulet
poulies          poul
poumons          poumon
pounah           pounah
poupée           poup
poupées          poup
pour             pour
pourceaux        pourceau
pourparlers        pourparler
pourpensées        pourpens
pourpoint        pourpoint
pourpres         pourpr
pourquoi         pourquoi
pourra           pourr
pourrai          pourr
pourraient         pourr
pourrais         pourr
pourrait         pourr
pourras          pourr
pourrez          pourr
pourriez         pourr
pourrions        pourrion
pourriture         pourritur
pourrons         pourron
pourront         pourront
poursuit         poursuit
poursuite        poursuit
poursuites         poursuit
poursuivaient        poursuiv
poursuivait        poursuiv
poursuivant        poursuiv
poursuivez         poursuiv
poursuivi        poursuiv
poursuivie         poursuiv
poursuivis         poursuiv
poursuivit         poursuiv
poursuivrai        poursuivr
poursuivraient        poursuivr
poursuivrait         poursuivr
poursuivre         poursuivr
poursuivront         poursuivront
pourtant         pourt
pourvoir         pourvoir
pourvu           pourvu
poussa           pouss
poussaient         pouss
poussait         pouss
poussant         pouss
pousse           pouss
poussé           pouss
poussée          pouss
poussent         poussent
pousser          pouss
poussera         pouss
poussés          pouss
poussez          pouss
poussière        poussi
poutre           poutr
poutres          poutr
pouvaient        pouv
pouvais          pouv
pouvait          pouv
pouvant          pouv
pouvez           pouv
pouviez          pouv
pouvions         pouvion
pouvoir          pouvoir
pouvons          pouvon
pozzo            pozzo
pradt            pradt
prairie          prair
prairies         prair
praticable         pratic
pratiquais         pratiqu
pratique         pratiqu
pratiqué         pratiqu
pratiquée        pratiqu
pratiquées         pratiqu
pratiquer        pratiqu
pratiques        pratiqu
pré              pré
préalable        préalabl
préalablement        préalabl
préambule        préambul
précaution         précaut
précautions        précaut
précéda          préced
précédait        préced
précédé          préced
précédée         préced
précédent        précédent
précédente         précédent
précédents         précédent
précédèrent        préced
précédés         préced
précepte         précept
préceptes        précept
précepteur         précepteur
précepteurs        précepteur
prêcha           prêch
prêchaient         prêch
prêchait         prêch
prêchant         prêch
prêché           prêch
prêcher          prêch
prêchera         prêch
prêcherai        prêch
prêcherait         prêch
prêches          prêch
précieuse        précieux
précieusement        précieux
précieuses         précieux
précieux         précieux
précipices         précipic
précipita        précipit
précipitaient        précipit
précipitait        précipit
précipitamment        précipit
précipitant        précipit
précipitation        précipit
précipite        précipit
précipité        précip
précipitent        précipitent
précipiter         précipit
précipitèrent        précipit
précipités         précip
précis           prec
précise          précis
précisément        précis
précises         précis
précision        précis
précoces         précoc
précurseur         précurseur
précurseurs        précurseur
prédécesseur         prédécesseur
prédestiné         prédestin
prédestinée        prédestin
prédicateur        prédiqu
prédication        prédiqu
prédications         prédiqu
prédiction         prédict
prédictions        prédict
prédire          prédir
prédispose         prédispos
prédit           pred
préface          préfac
préfecture         préfectur
préféra          préfer
préférable         préfer
préférables        préfer
préférait        préfer
préfère          préfer
préféré          préfer
préférence         préférent
préférences        préférent
préférer         préfer
préférerez         préfer
préférez         préfer
préfériez        préfer
préfet           préfet
préfète          préfet
préfets          préfet
préjudice        préjudic
préjudiciable        préjudici
préjudicierait        préjudici
préjugé          préjug
préjugés         préjug
prélat           prélat
prélature        prélatur
prélevés         prélev
préliminaires        préliminair
préludé          prélud
prématurément        prématur
préméditation        prémédit
prémédité        prémed
premier          premi
première         premi
premièrement         premi
premières        premi
premiers         premi
prenaient        pren
prenais          pren
prenait          pren
prenant          pren
prend            prend
prendra          prendr
prendrai         prendr
prendrais        prendr
prendrait        prendr
prendras         prendr
prendre          prendr
prendrez         prendr
prendront        prendront
prends           prend
prenez           pren
prenne           pren
prennent         prennent
prenons          prenon
préoccupa        préoccup
préoccupait        préoccup
préoccupation        préoccup
préoccupations        préoccup
préoccupé        préoccup
préoccupée         préoccup
préoccuper         préoccup
prépara          prépar
préparaient        prépar
préparais        prépar
préparait        prépar
préparant        prépar
préparât         prépar
préparatifs        prépar
préparation        prépar
préparatoire         préparatoir
préparatoires        préparatoir
prépare          prépar
préparé          prépar
préparer         prépar
préparera        prépar
préparèrent        prépar
préparés         prépar
préparez         prépar
préposé          prépos
prepotenze         prepotenz
prérogative        prérog
près             pres
présage          présag
présageait         présag
présages         présag
presbytère         presbyter
prescrira        prescr
prescrire        prescrir
prescrit         prescr
prescrite        prescrit
prescrivaient        prescriv
prescrivait        prescriv
préséance        préséanc
préséances         préséanc
présence         présenc
présent          présent
présenta         présent
présentable        présent
présentaient         présent
présentait         présent
présentant         présent
présentation         présent
présentations        présent
présente         présent
présenté         présent
présentée        présent
présentées         présent
présentement         présent
présentent         présentent
présenter        présent
présentera         présent
présenterait         présent
présentèrent         présent
présenterez        présent
présentes        présent
présentés        présent
présentez        présent
présents         présent
préservant         préserv
préserve         préserv
préservé         préserv
préservée        préserv
préserver        préserv
présidait        présid
présidence         président
président        président
présidente         président
présidents         président
présider         présid
présomption        présompt
présomptions         présompt
presqu           presqu
presque          presqu
pressa           press
pressaient         press
pressais         press
pressait         press
pressant         press
pressante        press
presse           press
pressé           press
pressée          press
pressent         pressent
pressentiment        pressent
pressentiments        pressent
pressentir         pressent
presser          press
pressés          press
pression         pression
pressoir         pressoir
pressure         pressur
prestige         prestig
prestigieuse         prestigi
prestigieux        prestigi
présume          présum
présumé          présum
prêt             prêt
prêta            prêt
prêtait          prêt
prêtant          prêt
prête            prêt
prêté            prêt
prêtée           prêt
prétend          prétend
prétendaient         prétend
prétendait         prétend
prétendant         prétend
prétendent         prétendent
prétendez        prétend
prétendit        prétend
prétendons         prétendon
prétendrait        prétendr
prétendre        prétendr
prétends         prétend
prétendu         prétendu
prétendue        prétendu
prétendues         prétendu
prétendus        prétendus
prétention         prétent
prétentions        prétent
prêter           prêt
prêtes           prêt
prêtés           prêt
prétexta         prétext
prétextant         prétext
prétexte         prétext
prétextes        prétext
prêtez           prêt
prétoire         prétoir
prêtre           prêtr
prêtres          prêtr
prêts            prêt
preuve           preuv
preuves          preuv
preux            preux
prévalant        préval
prévaloir        prévaloir
prévenait        préven
prévenances        préven
prévenez         préven
prévenir         préven
préventions        prévent
prévenu          prévenu
prévenus         prévenus
prévienne        prévien
préviens         prévien
prévision        prévis
prévisions         prévis
prévoir          prévoir
prévois          prévois
prévoit          prévoit
prévost          prévost
prévoyait        prévoi
prévoyant        prévoi
prévu            prévu
prévue           prévu
pria             pri
priais           pri
priait           pri
priant           pri
prie             pri
prié             pri
prier            pri
prierai          pri
prière           prier
prièrent         pri
prières          prier
prieur           prieur
priez            pri
prime            prim
primé            prim
primer           prim
primes           prim
primitif         primit
primitives         primit
primo            primo
prina            prin
prince           princ
princes          princ
princesse        princess
princesses         princess
principal        principal
principale         principal
principalement        principal
principales        principal
principaux         principal
principe         princip
principes        princip
printemps        printemp
prirent          prirent
pris             pris
prise            pris
prises           pris
prison           prison
prisonnier         prisonni
prisonnière        prisonni
prisonniers        prisonni
prisons          prison
prit             prit
prît             prît
priva            priv
privation        privat
prive            priv
privé            priv
privée           priv
privées          priv
priverai         priv
privés           priv
privilège        privileg
privilèges         privileg
privilégié         privilégi
privilégiée        privilégi
prix             prix
pro              pro
probabilité        probabl
probabilités         probabl
probable         probabl
probablement         probabl
probantes        prob
probe            prob
probes           prob
probité          probit
problème         problem
problèmes        problem
procédé          proced
procédés         proced
procédure        procédur
procès           proces
procession         process
processionnellement           processionnel
processions        process
prochain         prochain
prochaine        prochain
proche           proch
proches          proch
proclamation         proclam
proclamations        proclam
proclamée        proclam
proclamer        proclam
proctor          proctor
procuration        procur
procure          procur
procuré          procur
procurée         procur
procurer         procur
procurerai         procur
procureur        procureur
procureurs         procureur
prodige          prodig
prodiges         prodig
prodigieuse        prodigi
prodigieusement               prodigi
prodigieux         prodigi
prodiguait         prodigu
prodigue         prodigu
prodiguer        prodigu
prodiguera         prodigu
prodiguerait         prodigu
prodiguèrent         prodigu
production         product
produirait         produir
produire         produir
produis          produis
produisaient         produis
produisait         produis
produisant         produis
produise         produis
produisit        produis
produit          produit
produite         produit
produites        produit
produits         produit
profanateur        profan
profane          profan
profanes         profan
proférait        profer
proférant        profer
proférées        profer
proférer         profer
proférés         profer
professait         profess
professeur         professeur
professeurs        professeur
profession         profess
professions        profess
profil           profil
profilait        profil
profilant        profil
profilée         profil
profils          profil
profit           prof
profita          profit
profitable         profit
profitait        profit
profitant        profit
profité          profit
profiter         profit
profiterait        profit
profitons        profiton
profits          profit
profond          profond
profonde         profond
profondément         profond
profondes        profond
profondeur         profondeur
profondeurs        profondeur
profonds         profond
programme        programm
progrès          progres
prohibée         prohib
proie            proi
projectiles        projectil
projet           projet
projeté          projet
projetée         projet
projets          projet
prolonge         prolong
prolongé         prolong
prolongea        prolong
prolongeaient        prolong
prolongeant        prolong
prolongée        prolong
prolongent         prolongent
prolonger        prolong
prolongés        prolong
promena          promen
promenade        promenad
promenades         promenad
promenaient        promen
promenait        promen
promenant        promen
promène          promen
promené          promen
promènent        promènent
promener         promen
promenèrent        promen
promenés         promen
promeneur        promeneur
promeneurs         promeneur
promenez         promen
promenions         promen
promesse         promess
promesses        promess
promet           promet
promets          promet
promettait         promet
promette         promet
promettent         promettent
promettez        promet
promettons         prometton
promettre        promettr
promis           prom
promise          promis
promit           prom
promontoire        promontoir
promotion        promot
prompte          prompt
promptement        prompt
prôner           prôn
prononça         prononc
prononçait         prononc
prononçant         prononc
prononce         prononc
prononcé         prononc
prononcée        prononc
prononcées         prononc
prononcer        prononc
prononcera         prononc
prononcerait         prononc
prononcèrent         prononc
prononcés        prononc
prononciation        prononci
prononçons         prononçon
pronostics         pronostic
propageaient         propag
propagèrent        propag
propension         propens
prophète         prophet
prophètes        prophet
prophétie        prophet
prophéties         prophet
propice          propic
propices         propic
propitiatoires        propitiatoir
proportion         proport
proportionné         proportion
proportions        proport
propos           propos
proposa          propos
proposait        propos
propose          propos
proposé          propos
proposer         propos
proposerait        propos
proposés         propos
proposez         propos
proposition        proposit
propositions         proposit
propre           propr
proprement         propr
propres          propr
propreté         propret
propriétaire         propriétair
propriétaires        propriétair
propriété        propriet
propriétés         propriet
proprio          proprio
prosaïquement        prosaïqu
prosaïques         prosaïqu
proscrivent        proscrivent
prose            pros
prosélytisme         prosélyt
prospèrent         prosp
prospérité         prosper
prospérités        prosper
prosterna        prostern
prosternait        prostern
prosternant        prostern
prostration        prostrat
protecteur         protecteur
protecteurs        protecteur
protection         protect
protections        protect
protège          proteg
protégé          proteg
protégeaient         proteg
protégeait         proteg
protéger         proteg
protégera        proteg
protégés         proteg
protégez         proteg
protesta         protest
protestait         protest
protestant         protest
protestante        protest
protestantisme        protestant
protestants        protest
protestations        protest
proteste         protest
protesté         protest
protester        protest
prouesse         prouess
prouva           prouv
prouvaient         prouv
prouvait         prouv
prouvant         prouv
prouve           prouv
prouvé           prouv
prouvée          prouv
prouvées         prouv
prouvent         prouvent
prouver          prouv
prouveraient         prouv
prouvez          prouv
provenaient        proven
provenait        proven
provence         provenc
proverbe         proverb
proverbiale        proverbial
providence         provident
provient         provient
province         provinc
provinces        provinc
provincial         provincial
provinciale        provincial
provinciaux        provincial
provision        provis
provisions         provis
provocante         provoc
provocatrice         provoc
provoqua         provoqu
provoquait         provoqu
provoqué         provoqu
provoquée        provoqu
provoquer        provoqu
prude            prud
prudemment         prudent
prudence         prudenc
prudent          prudent
prudente         prudent
prudentes        prudent
prudents         prudent
pruderie         pruder
prunelle         prunel
pruniers         pruni
prusse           pruss
prussien         prussien
prussienne         prussien
prussiens        prussien
psalmodie        psalmod
psaume           psaum
psaumes          psaum
pseudonyme         pseudonym
psyché           psych
pu               pu
publia           publi
public           public
publicité        publiqu
publics          public
publie           publ
publié           publi
publiée          publi
publiées         publi
publièrent         publi
publique         publiqu
publiquement         publiqu
publiques        publiqu
pudeur           pudeur
puériles         puéril
puis             puis
puisait          puis
puisant          puis
puisée           puis
puiser           puis
puisés           puis
puisqu           puisqu
puisque          puisqu
puissamment        puiss
puissance        puissanc
puissances         puissanc
puissant         puiss
puissante        puiss
puissantes         puiss
puissants        puiss
puisse           puiss
puissent         puissent
puissiez         puiss
puissions        puission
puits            puit
pullulaient        pullul
pullulent        pullulent
punch            punch
puni             pun
punie            pun
punir            pun
punira           pun
punirait         pun
punirmi          punirm
punis            pun
punisse          pun
punit            pun
punîtes          pun
punition         punit
punitions        punit
puntiglio        puntiglio
pupille          pupill
pupitre          pupitr
pur              pur
pure             pur
purement         pur
purent           purent
pureté           puret
purgeait         purg
purger           purg
puritaine        puritain
purs             pur
purser           purs
pusillanime        pusillanim
pusillanimes         pusillanim
pusillanimité        pusillanim
pusse            puss
pussent          pussent
put              put
pût              pût
putiphar         putiphar
putréfaction         putréfact
pyramide         pyramid
pyrénées         pyren
qu               qu
qua              qua
quadrille        quadrill
quadrupède         quadruped
quadruple        quadrupl
quai             quai
quais            quais
quakeresse         quakeress
qualifiait         qualifi
qualificatif         qualif
qualification        qualif
qualité          qualit
qualités         qualit
quand            quand
quando           quando
quant            quant
quanti           quant
quantième        quantiem
quantièmes         quantiem
quantité         quantit
quarantaine        quarantain
quarante         quar
quarantième        quarantiem
quart            quart
quarti           quart
quartier         quarti
quartiers        quarti
quarto           quarto
quarts           quart
quatorze         quatorz
quatre           quatr
quatrième        quatriem
quatrièmes         quatriem
que              que
queenstown         queenstown
quel             quel
quelconque         quelconqu
quelle           quel
quelles          quel
quelqu           quelqu
quelque          quelqu
quelquefois        quelquefois
quelques         quelqu
quels            quel
quem             quem
querelle         querel
querelles        querel
question         question
questionner        question
questions        question
quête            quêt
quêtes           quêt
quêteurs         quêteur
queue            queu
qui              qui
quibus           quibus
quichotte        quichott
quiconque        quiconqu
quid             quid
quille           quill
quint            quint
quintaux         quintal
quinte           quint
quinzaine        quinzain
quinze           quinz
quinzième        quinziem
quitta           quitt
quittai          quitt
quittais         quitt
quittait         quitt
quittant         quitt
quittât          quitt
quitte           quitt
quitté           quitt
quittent         quittent
quitter          quitt
quittera         quitt
quitterai        quitt
quitterait         quitt
quittèrent         quitt
quitterez        quitt
quitterons         quitt
quittes          quitt
quittés          quitt
quittez          quitt
quittons         quitton
quoerens         quoeren
quoi             quoi
quoiqu           quoiqu
quoique          quoiqu
quotidien        quotidien
quotidienne        quotidien
quotidiennement               quotidien
quotité          quotit
r        r
rabâchage        rabâchag
rabaisser        rabaiss
raccommodait         raccommod
raccommodant         raccommod
raccommodé         raccommod
raccommodements               raccommod
raccommoder        raccommod
raccordent         raccordent
raccourcis         raccourc
race             rac
races            rac
rachète          rachet
racheter         rachet
racine           racin
raconta          racont
racontait        racont
racontant        racont
racontât         racont
raconte          racont
raconté          racont
racontent        racontent
raconter         racont
raconterai         racont
raconteraient        racont
raconterait        racont
racontèrent        racont
raconterons        racont
racontés         racont
racontez         racont
rade             rad
radieux          radieux
radouci          radouc
rafale           rafal
rafales          rafal
raffinée         raffin
rafraîchie         rafraîch
rafraîchir         rafraîch
rafraîchissements             rafraîch
rafraîchit         rafraîch
rage             rag
rageant          rag
rages            rag
rageurs          rageur
raide            raid
raidi            raid
raidie           raid
raidirent        raid
raies            rai
rail             rail
raillerie        railler
railroad         railroad
rails            rail
railway          railway
railways         railway
raison           raison
raisonna         raison
raisonnable        raison
raisonnablement               raison
raisonnables         raison
raisonnais         raison
raisonnait         raison
raisonnante        raison
raisonne         raison
raisonnement         raison
raisonnements        raison
raisonner        raison
raisonneur         raisonneur
raisons          raison
rajah            rajah
rajahs           rajah
rajeuni          rajeun
râlaient         râl
ralentie         ralent
ralentir         ralent
ralentissant         ralent
ralentit         ralent
ralliait         ralli
rallier          ralli
ralluma          rallum
ralph            ralph
ramassa          ramass
ramassaient        ramass
ramassait        ramass
ramasse          ram
ramassé          ramass
ramasser         ramass
ramasseraient        ramass
ramassés         ramass
ramassis         ramass
ramayana         ramayan
rambarde         rambard
rambo            rambo
rame             ram
ramena           ramen
ramenait         ramen
ramenant         ramen
ramener          ramen
rames            ram
rameurs          rameur
ramifiant        ramifi
ramifications        ramif
ramifiées        ramifi
rampant          ramp
rampe            ramp
rampes           ramp
ramure           ramur
ramures          ramur
ranchos          ranchos
rancune          rancun
rancunier        rancuni
rang             rang
rangé            rang
rangea           rang
rangeait         rang
rangée           rang
rangées          rang
ranger           rang
rangerait        rang
rangèrent        rang
ranges           rang
rangés           rang
rangoon          rangoon
rangs            rang
ranima           ranim
ranimé           ranim
ranimer          ranim
ranimèrent         ranim
ranuce           ranuc
rapacité         rapac
rapatrier        rapatri
râpé             râp
râpés            râp
rapide           rapid
rapidement         rapid
rapides          rapid
rapidité         rapid
rappela          rappel
rappelaient        rappel
rappelait        rappel
rappelant        rappel
rappelât         rappel
rappelé          rappel
rappelée         rappel
rappeler         rappel
rappelèrent        rappel
rappelés         rappel
rappelez         rappel
rappelle         rappel
rappellent         rappellent
rappellera         rappel
rappellerai        rappel
rappellerais         rappel
rappellerait         rappel
rappellerez        rappel
rapport          rapport
rapporta         rapport
rapportaient         rapport
rapportait         rapport
rapportant         rapport
rapportât        rapport
rapporte         rapport
rapporté         rapport
rapportée        rapport
rapportées         rapport
rapporter        rapport
rapporterait         rapport
rapportèrent         rapport
rapporterons         rapport
rapportes        rapport
rapporteur         rapporteur
rapports         rapport
rapprocha        rapproch
rapprochaient        rapproch
rapprochait        rapproch
rapprochant        rapproch
rapproche        rapproch
rapproché        rapproch
rapprochées        rapproch
rapprocher         rapproch
rapprocherait        rapproch
rapprochèrent        rapproch
rapprochés         rapproch
raquettes        raquet
rare             rar
raréfiaient        raréfi
rarement         rar
rares            rar
ras              ras
rasant           ras
rasé             ras
rasée            ras
rasées           ras
raser            ras
raserait         ras
rassasié         rassasi
rassasiée        rassasi
rassasier        rassasi
rassemblait        rassembl
rassemblé        rassembl
rassembler         rassembl
rassemblés         rassembl
rasseoir         rasseoir
rasséréna        rasséren
rasséréner         rasséren
rassi            rass
rassit           rass
rassura          rassur
rassuraient        rassur
rassurait        rassur
rassure          rassur
rassuré          rassur
rassurée         rassur
rassurer         rassur
rassurez         rassur
ratine           ratin
rationnelle        rationnel
rationnellement               rationnel
rats             rat
rattachait         rattach
ravages          ravag
ravaler          raval
ravenne          raven
raversi          ravers
ravi             rav
ravie            rav
ravins           ravin
ravir            rav
ravis            rav
raviser          ravis
ravissait        rav
ravissant        rav
ravissante         rav
ravissantes        rav
ravissants         rav
ravissement        rav
ravisseur        ravisseur
ravisseurs         ravisseur
ravit            rav
ravoir           ravoir
rayées           rai
raynal           raynal
rayon            rayon
rayonna          rayon
rayons           rayon
razori           razor
réaction         réaction
reading          reading
réal             réal
réalisable         réalis
réaliser         réalis
réaliste         réalist
réalité          réalit
réapprovisionner              réapprovision
rébarbatif         rébarb
rébarbative        rébarb
rebâtir          rebât
rebelle          rebel
rebelles         rebel
rébellion        rébellion
récapitulant         récapitul
récemment        récent
récente          récent
réception        récept
réceptions         récept
recette          recet
recettes         recet
recevaient         recev
recevait         recev
recevant         recev
recevez          recev
receviez         recev
recevoir         recevoir
recevra          recevr
recevrai         recevr
recevrait        recevr
recevrez         recevr
recharger        recharg
